timestamp,temperature_c,humidity_percent,pressure_pa,gas_ppm,radiation_uSv_h,battery_voltage_v,solar_current_ma,cpu_temp_c,vibration_mms,satellite_mode,region,fault_flag,battery_voltage_next,altitude_m,magnetic_field_uT,solar_panel_temp_c,gyro_stability_index
2025-01-01 00:00:23,19.07,,101088.84,390.42,0.1225,6.713,218.2,52.08,1.461,IDLE,,NO,7.114,400296.53125327424,46.65458402445553,38.261865812653056,0.374057820220279
2025-01-01 00:00:24,17.43,39.99,101519.57,311.39,0.0016,7.507,342.72,52.28,1.881,IDLE,AFRICA,NO,8.151,399832.398532508,40.29157459768011,28.857041863863124,
2025-01-01 00:00:25,17.89,25.69,100927.93,601.67,0.1741,7.635,254.47,47.77,2.741,ACTIVE,AMERICA,NO,,400112.45035386854,54.773274236683626,33.53936845043164,0.8833545238962597
2025-01-01 00:00:26,23.19,27.66,101891.04,588.65,0.0745,6.965,523.07,54.58,0.997,ACTIVE,AFRICA,NO,7.975,399975.6105566313,55.34773278605521,25.426190744804007,0.38276780093931095
2025-01-01 00:00:27,22.19,,101595.26,304.7,0.1588,6.955,293.13,43.49,2.003,SAFE,AMERICA,NO,,399813.0373133835,42.41111836124017,14.963916460480496,0.4133901589501518
2025-01-01 00:00:28,22.48,24.29,100894.41,323.26,0.0,7.699,255.68,41.97,2.031,IDLE,EUROPE,NO,8.181,399927.1315864513,43.140804123870105,39.78809158131405,0.48188506673762466
2025-01-01 00:00:29,22.58,34.13,101216.36,309.17,0.1307,,323.88,44.59,3.063,SAFE,ASIA,NO,8.368,400350.52577880654,48.61440167472661,,0.5056814770947967
2025-01-01 00:00:30,32.85,32.56,102060.92,276.64,0.1992,7.808,256.19,47.36,1.57,ACTIVE,AFRICA,NO,8.297,399806.36622106144,44.354518216312314,12.527933014087653,0.5139929160138486
2025-01-01 00:00:31,17.56,34.8,102000.85,239.51,0.1906,7.192,378.28,76.13,1.883,IDLE,AFRICA,NO,7.885,399807.4886463695,44.8992805994303,,0.6630810847296711
2025-01-01 00:00:32,16.93,34.41,100667.8,410.82,0.1324,7.46,568.55,43.43,2.418,ACTIVE,EUROPE,NO,8.562,399825.9860582846,51.91531979904593,23.460815667887957,0.6938366403821248
2025-01-01 00:00:33,15.12,46.7,101142.02,585.37,0.1464,7.5,350.86,46.43,1.508,ACTIVE,AMERICA,,8.208,400198.7109381484,38.97676296859446,26.287120816651527,0.4682676757039272
2025-01-01 00:00:34,23.7,,102285.7,536.01,0.1152,6.888,239.27,58.9,1.363,IDLE,AFRICA,NO,7.356,400036.3195118226,42.10382143253999,42.24753166067947,0.5529621140100142
2025-01-01 00:00:35,26.77,17.04,,444.7,0.1291,7.447,331.04,49.43,3.498,ACTIVE,ASIA,NO,8.09,399919.2122465506,45.02942003503405,22.431583004091944,0.7374448026131729
2025-01-01 00:00:36,19.32,21.6,101466.71,61.15,0.1939,7.442,,31.56,2.446,ACTIVE,ASIA,,7.794,399942.31945350044,,15.047386170985359,0.4571755310316521
2025-01-01 00:00:37,14.96,24.37,101888.47,126.25,0.0975,7.624,694.82,58.75,2.972,ACTIVE,AMERICA,NO,8.969,399910.89447198075,52.204275909029,29.27508273567706,0.41752132825238625
2025-01-01 00:00:38,15.05,22.21,100708.92,,,7.229,566.11,,2.581,SAFE,AFRICA,NO,8.337,399960.90834564954,49.94723385380606,42.53600862626874,0.3883234200862363
2025-01-01 00:00:39,23.9,30.75,100905.15,,0.0394,7.775,499.64,22.3,1.906,SAFE,AFRICA,NO,8.773,399786.13846952334,41.698872405420545,34.41394399392735,0.3278323998805799
2025-01-01 00:00:40,24.46,40.02,,416.45,0.1953,7.424,440.17,41.74,1.516,SAFE,ASIA,NO,8.275,399726.0510432119,47.03593166522093,26.297851472302767,0.5690683724752484
2025-01-01 00:00:41,23.26,42.32,101977.31,313.33,0.1276,,330.14,,1.548,IDLE,EUROPE,NO,8.569,400046.19915621803,42.04222098177949,23.87664976821048,0.7766584797876113
2025-01-01 00:00:42,16.01,,101884.88,512.28,0.0616,,,41.2,1.412,IDLE,AFRICA,NO,8.27,399876.0753316558,52.1083227516023,34.25025402775252,0.42100668635955296
2025-01-01 00:00:43,21.39,47.13,101734.88,440.43,0.2076,7.483,323.55,44.72,1.416,SAFE,ASIA,NO,8.13,400082.9012315828,43.15520318645731,12.089080208112337,0.6257683187571904
,20.7,27.15,101305.42,486.49,,7.045,635.22,50.78,1.376,SAFE,AMERICA,,8.304,400033.62773559534,40.10838333807313,20.504690354707144,0.7073114026908793
2025-01-01 00:00:45,21.31,16.94,101939.78,127.21,0.0942,7.004,,55.14,2.624,IDLE,AMERICA,NO,,400232.81391347374,,15.362574736772945,0.7821096827038793
2025-01-01 00:00:46,25.23,38.43,101298.68,391.2,0.2087,7.88,282.31,55.43,1.232,SAFE,ASIA,,,400031.23407927115,35.93555971209639,41.95501774661865,0.6630117019075926
2025-01-01 00:00:47,21.34,15.29,101663.98,562.95,0.1223,7.663,337.45,57.82,3.114,IDLE,ASIA,NO,8.304,400118.24822170846,42.282618784662944,46.76416534029627,0.5689434110333322
2025-01-01 00:00:48,24.07,23.96,101831.02,413.29,0.0363,,412.04,43.4,2.603,SAFE,EUROPE,NO,8.138,399888.98794452625,32.160578319283644,39.34103037116412,0.40638148104346045
,20.41,34.16,102223.41,463.79,0.2133,7.275,0.0,28.28,2.538,ACTIVE,AFRICA,NO,7.267,399661.7220400925,47.669789679850275,22.6448011802853,0.35436905572419275
2025-01-01 00:00:50,21.73,29.18,101346.84,354.36,0.0874,7.467,397.2,24.98,2.19,SAFE,EUROPE,NO,8.255,399947.77283940336,40.32886827942872,8.900289375607088,0.5387492629560432
2025-01-01 00:00:51,23.79,28.47,101193.69,362.73,0.3576,6.996,44.9,51.19,2.333,SAFE,EUROPE,NO,7.075,399894.43964693334,,26.685001123772555,0.5946155911094821
2025-01-01 00:00:52,11.26,20.55,102022.54,518.3,0.115,,526.65,44.52,1.662,,AMERICA,NO,8.318,399805.66341209825,50.64600577660662,18.612231104798852,0.16569028407755798
2025-01-01 00:00:53,18.08,,102060.93,269.63,0.0051,7.584,143.1,56.98,1.325,ACTIVE,AFRICA,NO,7.856,400167.4336084615,42.26291040009713,24.83901049302932,0.6453058270956857
2025-01-01 00:00:54,17.18,38.03,101103.31,257.88,0.269,7.624,253.62,48.71,1.644,ACTIVE,ASIA,NO,8.133,399935.2631008232,55.99439940783794,26.320274496586304,0.27431971517821946
2025-01-01 00:00:55,16.17,30.16,100822.48,292.61,0.1422,7.29,119.95,30.97,0.951,SAFE,AMERICA,NO,7.471,,40.423776546653336,39.09967591260516,0.6688965241686463
2025-01-01 00:00:56,18.35,23.36,101984.52,352.81,0.1641,7.88,566.1,40.16,2.367,SAFE,EUROPE,NO,9.0,399770.1531679472,39.544613390274634,,0.4640071786171518
2025-01-01 00:00:57,28.97,20.02,100554.14,156.79,0.1729,7.713,348.53,48.42,1.201,ACTIVE,AMERICA,NO,,400037.7543313202,42.377626562826805,28.67342884830628,0.5885612415907768
,14.81,23.52,,,0.0509,7.169,617.19,36.09,2.521,,AFRICA,NO,8.41,400191.01258306706,,38.9518993690258,0.6734827755234454
2025-01-01 00:00:59,25.81,33.14,101240.85,330.29,0.0,7.017,,57.04,2.544,ACTIVE,,NO,8.152,400398.1553562775,48.611600947145355,28.344188481244906,0.5964601670194387
2025-01-01 00:01:00,9.9,32.75,101376.22,452.44,0.283,7.578,499.91,41.48,2.208,ACTIVE,ASIA,NO,8.548,399722.45997387636,,19.604647690142656,0.3884773270951593
,17.99,23.6,100795.02,95.71,,7.265,181.79,42.43,1.595,IDLE,AMERICA,,7.646,,45.72313668997157,13.696559101000293,0.7968108960638876
2025-01-01 00:01:02,20.98,12.31,101435.93,452.9,0.2609,7.208,369.86,32.17,1.323,SAFE,EUROPE,YES,7.983,399716.0796145307,43.3450198992979,29.399940003644012,0.45856120407418194
2025-01-01 00:01:03,23.52,33.36,101458.24,510.43,0.183,7.467,513.95,61.3,1.419,IDLE,AMERICA,NO,8.48,399753.38989253127,44.724337887599525,,
2025-01-01 00:01:04,24.27,22.82,101084.81,402.63,0.1585,7.616,396.66,43.44,,IDLE,AMERICA,NO,8.462,400055.711559072,48.660018350796314,29.245866095048722,0.5929400310519601
2025-01-01 00:01:05,24.76,35.51,102341.73,353.6,0.1134,7.638,305.62,47.32,1.991,ACTIVE,AFRICA,NO,8.226,400081.2493764957,40.13551518505905,29.803421473415177,0.3433022800121245
2025-01-01 00:01:06,17.91,23.95,101539.88,453.82,,7.417,392.18,38.82,1.912,SAFE,ASIA,NO,8.21,,41.67373824751372,43.52968369358696,0.24182710981925942
2025-01-01 00:01:07,17.23,,101889.24,502.57,0.0977,6.712,403.72,41.84,3.525,IDLE,ASIA,NO,7.485,399972.3508595393,54.40116377964354,27.223056445963294,0.3689927345304246
2025-01-01 00:01:08,25.15,31.23,100596.89,412.75,0.0997,7.686,172.73,47.46,3.486,ACTIVE,AMERICA,NO,8.023,400237.5581946155,40.943939223688545,23.78386866458213,0.5008404362647167
2025-01-01 00:01:09,18.85,,100592.58,421.72,0.1933,7.158,281.98,48.47,3.222,,EUROPE,NO,7.678,400151.33155558596,38.910978449835625,38.144047036825185,0.36085016185791857
2025-01-01 00:01:10,12.35,35.99,101555.03,548.83,0.0991,7.493,428.38,49.61,1.841,SAFE,ASIA,NO,8.342,399984.82699758187,53.39620876250663,25.353277212256575,0.4369200277515144
2025-01-01 00:01:11,13.2,31.09,102252.43,441.34,,7.363,454.93,53.09,0.868,IDLE,,YES,,400143.02935500763,47.06414747043186,23.21492534643631,0.05988867987817953
2025-01-01 00:01:12,14.48,32.87,100820.03,253.97,0.1422,8.073,379.21,50.55,2.148,,EUROPE,NO,8.793,399928.7213530767,51.23805816999184,33.22988576839417,0.7534569922826202
2025-01-01 00:01:13,,15.99,101396.69,502.0,,,301.05,49.36,1.802,ACTIVE,AFRICA,NO,8.63,400217.46967122663,37.259182812124045,16.715243825570248,0.5160492836205293
2025-01-01 00:01:14,20.85,21.02,100707.45,335.15,0.2779,7.262,326.96,39.74,2.031,IDLE,AFRICA,,7.912,400051.9109917351,52.405248612264174,8.666376047645205,0.3435750761850702
2025-01-01 00:01:15,24.14,,100965.69,353.99,,6.997,,,2.345,IDLE,ASIA,NO,,399950.2397604465,27.38095187554811,33.85648515491311,0.7635202458746118
2025-01-01 00:01:16,17.44,43.84,101421.56,362.83,0.0209,7.02,,35.18,2.563,ACTIVE,AFRICA,NO,,399856.41158102517,44.81387118607161,43.988865545997086,0.21520093117605432
2025-01-01 00:01:17,20.95,42.22,101078.69,466.26,0.2193,7.481,452.01,41.0,0.578,ACTIVE,ASIA,,8.339,399956.5503260316,53.609953240927744,45.17917406394865,0.30460236283511316
2025-01-01 00:01:18,23.75,33.14,100672.24,559.86,0.0774,7.238,641.38,48.42,3.036,IDLE,ASIA,NO,8.489,400063.2464755861,51.724896733337616,,0.39700641781798834
2025-01-01 00:01:19,18.14,31.08,100661.04,352.93,0.0809,,205.49,48.21,2.766,IDLE,AFRICA,YES,7.445,400000.0959383038,,23.695499656245058,0.35791258138402005
,,17.59,100382.0,557.75,0.1086,7.243,502.01,50.3,,ACTIVE,AFRICA,NO,8.235,400142.88327713864,53.191759888298094,6.431796680701854,0.4051304783300187
2025-01-01 00:01:21,16.03,28.25,101563.29,369.75,0.1041,7.535,395.94,56.77,2.712,SAFE,EUROPE,NO,8.308,,,23.138177293949614,0.620780597484394
2025-01-01 00:01:22,17.82,44.34,101623.79,518.26,0.0715,7.377,157.85,34.49,1.799,ACTIVE,EUROPE,NO,7.659,,39.07954594375923,55.45069795536502,0.685072115340326
2025-01-01 00:01:23,17.71,31.05,101621.28,373.81,0.0,7.255,338.28,30.06,2.028,IDLE,,NO,7.9,399526.12614423194,,19.600861197444914,
2025-01-01 00:01:24,12.82,25.48,100870.41,290.91,0.2476,7.293,328.16,42.9,1.882,ACTIVE,EUROPE,NO,7.968,399945.4328235791,38.51399427093609,44.924352401332456,0.7775569638477107
2025-01-01 00:01:25,22.92,15.94,101827.98,580.65,0.2093,7.351,349.81,56.8,,ACTIVE,AMERICA,NO,8.046,399932.0431948473,43.85938907860416,11.24446809999432,0.35526583303224635
,17.18,41.04,101678.39,279.45,0.1453,7.467,475.73,56.54,0.996,ACTIVE,ASIA,NO,8.414,399600.4294170716,37.76184907971684,,0.5848834876158544
2025-01-01 00:01:27,20.07,29.44,101328.65,271.42,0.0787,7.484,,46.59,4.187,SAFE,EUROPE,NO,8.639,400195.4584261716,49.48318461077581,26.619847997108174,0.35423854724700754
2025-01-01 00:01:28,22.88,15.95,101246.59,199.28,0.2329,6.905,505.41,,2.503,SAFE,ASIA,NO,7.876,399993.3298154342,35.75403254925217,35.348657684256764,0.3497218253282625
2025-01-01 00:01:29,22.68,22.61,101000.44,502.07,0.142,7.45,375.54,47.09,2.111,SAFE,AMERICA,NO,8.19,400095.87223371083,42.98389149117396,20.91505784884815,0.19831307805269427
2025-01-01 00:01:30,23.99,19.78,101421.08,530.41,0.1062,7.291,388.87,53.96,3.45,SAFE,ASIA,NO,8.035,399919.2291578875,41.603265126266486,6.15158263728809,0.8086416315123234
2025-01-01 00:01:31,19.41,28.95,,394.78,0.0313,7.096,599.47,38.77,,SAFE,AFRICA,NO,8.334,400161.30908863974,43.21044840447889,40.54403512683782,0.7541237612584935
2025-01-01 00:01:32,17.46,31.66,101893.93,231.94,0.1841,7.288,222.95,40.43,1.804,,AMERICA,NO,7.703,400018.3927421956,43.787685745604925,,0.9592007526233401
2025-01-01 00:01:33,19.52,25.97,101196.89,349.19,0.123,,499.05,45.76,1.507,IDLE,EUROPE,NO,8.755,400124.8626139779,52.82024750199146,14.949133813647947,0.6640806747014272
2025-01-01 00:01:34,9.88,36.22,101594.31,313.69,0.1647,7.643,212.33,53.96,1.605,ACTIVE,EUROPE,YES,8.04,400029.97918035905,42.829487433468145,19.01417055119531,0.5908392632752624
2025-01-01 00:01:35,11.32,,100774.28,226.34,0.1582,7.429,166.94,51.68,2.025,IDLE,AMERICA,NO,7.742,400096.03986471915,39.29101935972601,13.063157287490084,0.40840274709107116
2025-01-01 00:01:36,12.06,38.5,101690.03,291.33,0.1909,,425.74,29.24,1.65,IDLE,AFRICA,NO,7.999,400020.7115418489,47.203751652058315,15.235503817381806,0.7313681589135288
,14.02,,100909.57,410.69,0.1617,6.992,151.08,51.7,0.576,IDLE,AMERICA,NO,7.251,400077.5845271136,44.47304106953311,24.12481115774194,0.587763555310473
2025-01-01 00:01:38,22.4,54.36,101670.13,277.38,,7.117,302.86,44.88,1.188,IDLE,ASIA,NO,7.73,400015.2803938577,44.269446393649766,34.511534841256164,0.24742430146560218
2025-01-01 00:01:39,14.57,,102809.54,385.01,0.1853,7.404,514.91,50.09,1.264,SAFE,,,8.404,399688.450904335,,22.493761072665663,0.5248094196523461
2025-01-01 00:01:40,17.73,22.77,101039.99,136.84,0.213,7.41,240.33,43.28,,,ASIA,NO,7.887,399709.164901654,,12.411827565926814,0.23260523712626008
2025-01-01 00:01:41,27.8,21.79,102786.4,551.5,0.2547,7.205,565.61,48.99,1.237,SAFE,AFRICA,NO,8.335,399898.58154492656,45.593408275576806,10.024075240065496,0.5740137609754018
2025-01-01 00:01:42,17.86,28.31,101570.32,,0.068,7.663,79.09,,1.858,ACTIVE,AFRICA,,7.819,400219.99185331876,41.060678719341325,35.57427399702196,0.6889477251135215
2025-01-01 00:01:43,,16.24,100950.19,454.43,0.2243,7.515,475.31,40.65,1.882,ACTIVE,AMERICA,NO,8.425,,48.694793238336196,15.477618000685316,0.43703377888039446
2025-01-01 00:01:44,14.4,32.36,100927.27,372.64,0.0353,6.605,,,0.276,IDLE,AMERICA,NO,6.947,399732.61922090384,56.86035014182812,30.151413831714287,0.3514028318491971
2025-01-01 00:01:45,18.77,14.76,102507.48,,0.2175,7.433,326.68,43.47,1.142,SAFE,EUROPE,NO,8.072,399941.491507716,41.80202633122356,21.283762595194965,0.8923433742027376
2025-01-01 00:01:46,14.3,,101571.49,214.16,0.1052,7.627,375.89,34.64,2.173,ACTIVE,EUROPE,NO,8.345,399912.8816309243,44.38550979489202,29.75100099331737,0.5592277552263065
2025-01-01 00:01:47,17.97,19.19,,258.73,0.2054,7.461,316.12,41.46,1.911,ACTIVE,AMERICA,NO,8.084,,47.53587914885758,31.953094151619347,0.6202174223268984
2025-01-01 00:01:48,25.04,26.95,101223.27,261.46,0.251,7.574,,42.43,0.594,SAFE,ASIA,NO,8.217,400145.22323127626,49.16366914807665,28.689207389011376,0.5730493178627006
2025-01-01 00:01:49,9.64,34.84,101540.39,353.04,0.1626,7.321,175.9,53.29,2.644,SAFE,AFRICA,NO,7.641,400103.3826334489,47.731866715678905,19.69018868986634,0.7021005043557249
2025-01-01 00:01:50,22.61,48.43,101320.64,509.14,0.1467,7.38,519.8,50.31,2.486,ACTIVE,EUROPE,NO,8.418,400206.6657599574,,25.266975897555998,0.6493924346184604
2025-01-01 00:01:51,21.43,21.38,101497.95,401.99,,7.387,202.42,61.1,3.864,,AMERICA,YES,7.767,399949.3449050253,,20.922251751944906,0.460729102952485
2025-01-01 00:01:52,16.44,28.8,,241.96,0.1171,,202.32,31.58,3.411,SAFE,EUROPE,NO,7.852,400076.89828531916,,36.325635550798935,0.1725834631356623
2025-01-01 00:01:53,11.32,24.21,100761.01,360.48,0.2287,7.226,,42.95,1.318,SAFE,AMERICA,NO,7.899,400197.0218423923,48.74713747480477,30.29660169916727,0.3903502656729026
2025-01-01 00:01:54,20.43,23.04,101647.32,340.32,0.1425,7.728,266.38,54.86,1.898,IDLE,AMERICA,NO,8.262,399985.7558438513,42.90626328120451,8.782810086333424,0.522452737693143
2025-01-01 00:01:55,16.82,24.28,,307.9,0.0,7.827,450.63,47.2,2.025,ACTIVE,ASIA,NO,8.69,399603.91231006285,41.470403269236165,33.822146377547526,0.7204620591127164
2025-01-01 00:01:56,21.4,36.59,101075.48,348.15,0.2119,7.241,,,3.02,IDLE,ASIA,NO,7.814,399934.48531430523,43.05001455904753,28.754652049369877,0.8147488420613285
2025-01-01 00:01:57,20.13,26.1,101861.09,,0.2082,7.049,349.86,37.54,1.771,ACTIVE,EUROPE,NO,7.752,400348.6136413197,47.82351651579525,2.81816538514283,0.4552341692008526
2025-01-01 00:01:58,29.61,47.99,100594.29,263.61,,6.996,363.74,50.55,3.077,SAFE,EUROPE,NO,7.707,,53.0393566120763,17.66472671939304,0.8895660714635911
2025-01-01 00:01:59,,33.33,100141.78,308.49,0.0948,7.521,466.86,46.49,2.227,ACTIVE,AFRICA,NO,8.416,,41.47838605259407,36.10276072967052,0.6105995394487049
2025-01-01 00:02:00,13.86,21.92,101437.27,,0.0688,7.576,286.68,42.3,1.361,IDLE,AMERICA,,8.143,399879.04900257173,39.70753470299647,27.435197040278176,0.5537510255105962
2025-01-01 00:02:01,21.08,27.07,101255.91,,0.095,7.523,149.39,53.07,1.057,ACTIVE,ASIA,NO,7.809,399900.5796421953,46.71611437509834,38.02778869122693,0.5623688339682391
2025-01-01 00:02:02,21.32,23.59,100648.58,503.49,,7.549,252.84,,,SAFE,EUROPE,NO,8.025,400026.6755297968,46.55542473202489,30.73948986493614,0.6631726310507025
2025-01-01 00:02:03,28.16,36.4,100469.72,522.3,0.021,7.229,486.48,,2.774,SAFE,EUROPE,,8.203,400162.59084541426,42.376826324371734,,0.5231253477751094
2025-01-01 00:02:04,,16.89,102290.32,,0.1797,6.803,391.77,49.67,2.875,IDLE,ASIA,,7.553,399709.1355989322,48.48876695554123,,0.5198938348682101
2025-01-01 00:02:05,22.14,,101556.51,384.6,0.1551,7.251,305.55,46.11,0.0,IDLE,EUROPE,YES,7.856,399791.27608822216,46.71764739842544,21.19005528787666,
2025-01-01 00:02:06,28.78,25.27,101334.82,289.05,0.2401,7.896,357.33,50.2,1.896,IDLE,AMERICA,NO,8.592,400060.95256442466,40.01705760525349,35.46902434972843,0.7408153485177142
2025-01-01 00:02:07,12.87,35.46,102422.62,206.15,0.1991,7.479,318.12,55.56,,IDLE,AFRICA,NO,8.109,400015.94646484713,43.84493177120642,26.294187298772187,0.5153083055421646
2025-01-01 00:02:08,16.16,39.86,101836.03,255.3,0.0994,7.527,444.52,56.38,0.856,ACTIVE,ASIA,NO,8.368,399626.12086923653,50.46084014118096,27.363177093981594,0.4962375391114926
2025-01-01 00:02:09,14.44,41.04,102209.64,313.91,0.0316,7.671,390.5,41.01,2.455,ACTIVE,ASIA,YES,8.381,399920.42594436184,49.783566823002,38.67539808403405,0.3459016931941198
2025-01-01 00:02:10,,34.24,100735.02,314.66,0.0925,7.148,316.53,31.73,1.557,ACTIVE,AFRICA,NO,7.742,400260.41774319456,46.00174107347117,34.091460501603855,0.4381554415638096
2025-01-01 00:02:11,11.74,29.34,100716.3,277.17,0.2467,,460.12,44.25,1.247,SAFE,AMERICA,NO,8.371,399991.3492432128,57.649427376196364,29.700258556297566,0.7408544527906527
2025-01-01 00:02:12,23.81,36.36,101633.54,348.36,0.1706,7.554,491.22,,1.418,IDLE,AMERICA,NO,8.558,399823.5756278771,46.72859062072468,18.551084019107545,0.5217282113647554
2025-01-01 00:02:13,18.67,20.84,101532.25,643.6,0.1918,7.12,239.68,22.98,3.264,ACTIVE,EUROPE,YES,7.598,399968.01092200563,46.64468495768284,20.79757538189358,0.6928971195698095
2025-01-01 00:02:14,11.18,15.24,101949.83,142.97,0.106,7.509,241.87,,2.716,SAFE,EUROPE,NO,8.001,400255.4272007353,43.52122210255692,25.129174415835372,0.37199921725854646
2025-01-01 00:02:15,13.91,33.49,100509.61,486.46,0.1839,7.789,638.12,40.8,1.906,ACTIVE,ASIA,NO,9.0,400105.10696840734,44.088225011187625,7.806369408521412,0.567247027516934
2025-01-01 00:02:16,21.88,21.95,101676.8,347.8,0.0436,7.28,425.13,44.59,3.761,ACTIVE,AFRICA,NO,8.072,,47.51510043381829,31.761430852488456,0.623480024091812
2025-01-01 00:02:17,25.03,29.48,101819.63,297.45,0.2155,6.883,550.32,40.43,0.567,ACTIVE,,NO,7.97,400098.4459175965,41.983610676350416,21.289948577434664,0.8423022196790539
2025-01-01 00:02:18,31.98,30.96,101793.09,107.81,0.0691,7.452,457.08,43.34,1.488,IDLE,ASIA,NO,8.336,399931.2257863105,48.58862271088877,28.393576644014594,0.12262564090589179
2025-01-01 00:02:19,37.48,31.98,101121.65,441.53,0.0118,7.203,405.13,55.21,3.28,SAFE,AFRICA,NO,7.973,399756.1980392979,48.67768680318255,18.773545119301698,0.7069474184960944
2025-01-01 00:02:20,22.49,37.5,101584.31,,0.3084,7.454,93.6,45.67,1.856,ACTIVE,ASIA,NO,7.624,400191.336887121,37.95548761042873,40.47803670501176,0.5311542405444333
2025-01-01 00:02:21,14.06,36.66,100937.17,449.35,0.1594,,203.46,61.97,1.834,SAFE,ASIA,NO,7.537,400099.47280182067,37.50589812799326,11.581204470034866,0.5208640275524387
2025-01-01 00:02:22,7.21,31.56,101178.53,558.96,0.1575,7.418,428.04,50.03,1.903,,,NO,8.219,,43.56528425905451,-0.21347075782741598,0.12436489677582219
,21.61,26.46,100803.53,,0.0191,7.768,241.41,50.61,1.634,SAFE,AMERICA,NO,8.214,400182.27369517245,53.85858518899673,,0.21182555157205463
